,Unnamed: 0,Item1,Item2,book,chapter,sentences_index,contain_ren,Start,End
404,19942,仁,也,analects,泰伯,305,True,-480,-350
405,21353,子,仁,analects,子罕,330,True,-480,-350
406,21359,罕,仁,analects,子罕,330,True,-480,-350
407,21364,言,仁,analects,子罕,330,True,-480,-350
408,21368,利,仁,analects,子罕,330,True,-480,-350
409,21371,与,仁,analects,子罕,330,True,-480,-350
410,21373,命,仁,analects,子罕,330,True,-480,-350
411,21374,与,仁,analects,子罕,330,True,-480,-350
412,25014,知,仁,analects,子罕,386,True,-480,-350
413,25024,者,仁,analects,子罕,386,True,-480,-350
414,25033,不,仁,analects,子罕,386,True,-480,-350
415,25041,惑,仁,analects,子罕,386,True,-480,-350
416,25049,仁,者,analects,子罕,386,True,-480,-350
417,25050,仁,不,analects,子罕,386,True,-480,-350
418,25051,仁,忧,analects,子罕,386,True,-480,-350
419,25052,仁,勇,analects,子罕,386,True,-480,-350
420,25053,仁,者,analects,子罕,386,True,-480,-350
421,25054,仁,不,analects,子罕,386,True,-480,-350
422,25055,仁,惧,analects,子罕,386,True,-480,-350
423,28942,克,仁,analects,颜渊,510,True,-480,-350
424,28946,己,仁,analects,颜渊,510,True,-480,-350
425,28949,复,仁,analects,颜渊,510,True,-480,-350
426,28951,礼,仁,analects,颜渊,510,True,-480,-350
427,28952,为,仁,analects,颜渊,510,True,-480,-350
428,28961,一,仁,analects,颜渊,511,True,-480,-350
429,28970,日,仁,analects,颜渊,511,True,-480,-350
430,28978,克,仁,analects,颜渊,511,True,-480,-350
431,28985,己,仁,analects,颜渊,511,True,-480,-350
432,28991,复,仁,analects,颜渊,511,True,-480,-350
433,28996,礼,仁,analects,颜渊,511,True,-480,-350
434,29000,天,仁,analects,颜渊,511,True,-480,-350
435,29003,下,仁,analects,颜渊,511,True,-480,-350
436,29005,归,仁,analects,颜渊,511,True,-480,-350
437,29007,仁,焉,analects,颜渊,511,True,-480,-350
438,29008,为,仁,analects,颜渊,512,True,-480,-350
439,29016,仁,由,analects,颜渊,512,True,-480,-350
440,29017,仁,己,analects,颜渊,512,True,-480,-350
441,29018,仁,而,analects,颜渊,512,True,-480,-350
442,29019,仁,由,analects,颜渊,512,True,-480,-350
443,29020,仁,人,analects,颜渊,512,True,-480,-350
444,29021,仁,乎,analects,颜渊,512,True,-480,-350
445,29022,仁,哉,analects,颜渊,512,True,-480,-350
446,29166,仁,者,analects,颜渊,516,True,-480,-350
447,29167,仁,其,analects,颜渊,516,True,-480,-350
448,29168,仁,言,analects,颜渊,516,True,-480,-350
449,29169,仁,也,analects,颜渊,516,True,-480,-350
450,29170,仁,讱,analects,颜渊,516,True,-480,-350
451,30305,君子,仁,analects,颜渊,547,True,-480,-350
452,30312,以,仁,analects,颜渊,547,True,-480,-350
453,30318,文,仁,analects,颜渊,547,True,-480,-350
454,30323,会,仁,analects,颜渊,547,True,-480,-350
455,30327,友,仁,analects,颜渊,547,True,-480,-350
456,30330,以,仁,analects,颜渊,547,True,-480,-350
457,30332,友,仁,analects,颜渊,547,True,-480,-350
458,30333,辅,仁,analects,颜渊,547,True,-480,-350
459,31069,如,仁,analects,子路,568,True,-480,-350
460,31076,有,仁,analects,子路,568,True,-480,-350
461,31082,王,仁,analects,子路,568,True,-480,-350
462,31087,者,仁,analects,子路,568,True,-480,-350
463,31091,必,仁,analects,子路,568,True,-480,-350
464,31094,世,仁,analects,子路,568,True,-480,-350
465,31096,而,仁,analects,子路,568,True,-480,-350
466,31097,后,仁,analects,子路,568,True,-480,-350
467,32156,刚,仁,analects,子路,592,True,-480,-350
468,32161,毅,仁,analects,子路,592,True,-480,-350
469,32165,、,仁,analects,子路,592,True,-480,-350
470,32168,木,仁,analects,子路,592,True,-480,-350
471,32170,讷,仁,analects,子路,592,True,-480,-350
472,32171,近,仁,analects,子路,592,True,-480,-350
473,32543,仁,者,analects,宪问,601,True,-480,-350
474,32544,仁,必,analects,宪问,601,True,-480,-350
475,32545,仁,有,analects,宪问,601,True,-480,-350
476,32546,仁,勇,analects,宪问,601,True,-480,-350
477,32557,勇,仁,analects,宪问,602,True,-480,-350
478,32561,者,仁,analects,宪问,602,True,-480,-350
479,32564,不,仁,analects,宪问,602,True,-480,-350
480,32566,必,仁,analects,宪问,602,True,-480,-350
481,32567,有,仁,analects,宪问,602,True,-480,-350
482,32780,君子,仁,analects,宪问,604,True,-480,-350
483,32790,君子,仁,analects,宪问,604,True,-480,-350
484,32794,而,仁,analects,宪问,604,True,-480,-350
485,32804,而,仁,analects,宪问,604,True,-480,-350
486,32807,不,仁,analects,宪问,604,True,-480,-350
487,32817,不,仁,analects,宪问,604,True,-480,-350
488,32820,仁,者,analects,宪问,604,True,-480,-350
489,32821,仁,有,analects,宪问,604,True,-480,-350
490,32822,仁,矣,analects,宪问,604,True,-480,-350
491,32823,仁,夫,analects,宪问,604,True,-480,-350
492,32824,仁,未,analects,宪问,604,True,-480,-350
493,32825,仁,有,analects,宪问,604,True,-480,-350
494,32826,仁,小,analects,宪问,604,True,-480,-350
495,32827,仁,人,analects,宪问,604,True,-480,-350
496,32828,仁,而,analects,宪问,604,True,-480,-350
497,32829,仁,仁,analects,宪问,604,True,-480,-350
498,32830,仁,者,analects,宪问,604,True,-480,-350
499,32831,仁,也,analects,宪问,604,True,-480,-350
500,32840,者,仁,analects,宪问,604,True,-480,-350
501,32850,有,仁,analects,宪问,604,True,-480,-350
502,32859,矣,仁,analects,宪问,604,True,-480,-350
503,32867,夫,仁,analects,宪问,604,True,-480,-350
504,32874,未,仁,analects,宪问,604,True,-480,-350
505,32880,有,仁,analects,宪问,604,True,-480,-350
